type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
volume_spike,2024-10-21/2024-10-27,,,,,high,,Velocity Portfolio Group,14.0,3.8,3.73,3.9e-05,,,,,,,,,18.138934279399333
cluster_shrinking,2024-03-11/2024-03-17,6.0,9.89,17.8,-8.04,high,"xxxx, xxxx xxxx, debt, account, credit",,,,,,,,,,,,,,18.04
volume_spike,2024-03-04/2024-03-10,,,,,medium,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",220.0,74.2,2.96,0.0,,,,,,,,,17.96
volume_spike,2024-04-15/2024-04-21,,,,,high,,"SANTANDER HOLDINGS USA, INC.",8.0,1.8,4.57,0.000468,,,,,,,,,17.899754054127918
volume_spike,2024-08-26/2024-09-01,,,,,high,,Self Financial Inc.,8.0,1.8,4.57,0.000468,,,,,,,,,17.899754054127918
cluster_shrinking,2024-04-29/2024-05-05,26.0,1.69,6.96,-7.89,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,17.89
volume_spike,2024-04-22/2024-04-28,,,,,high,,Source Receivables Management LLC,7.0,1.5,4.67,0.000926,,,,,,,,,17.703388966418018
volume_spike,2024-11-04/2024-11-10,,,,,high,,Consumer Adjustment Company Incorporated,7.0,1.5,4.67,0.000926,,,,,,,,,17.703388966418018
volume_spike,2025-01-06/2025-01-12,,,,,high,,"Kimball, Tirey & St. John LLP",7.0,1.5,4.67,0.000926,,,,,,,,,17.703388966418018
volume_spike,2024-01-15/2024-01-21,,,,,high,,"Collection Management Holdings, LLC",7.0,1.5,4.67,0.000926,,,,,,,,,17.703388966418018
volume_spike,2023-12-25/2023-12-31,,,,,high,,"Security Credit Services, LLC",7.0,1.5,4.67,0.000926,,,,,,,,,17.703388966418018
volume_spike,2024-03-04/2024-03-10,,,,,medium,,Experian Information Solutions Inc.,188.0,72.0,2.61,0.0,,,,,,,,,17.61
volume_spike,2024-07-22/2024-07-28,,,,,high,,LJ Ross Associates,6.0,1.2,4.8,0.001838,,,,,,,,,17.535654469321265
volume_spike,2024-01-29/2024-02-04,,,,,high,,"Sequium Asset Solutions, LLC",6.0,1.2,4.8,0.001838,,,,,,,,,17.535654469321265
cluster_growing,2024-11-25/2024-12-01,3.0,11.72,5.6,7.49,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,17.490000000000002
cluster_shrinking,2024-05-06/2024-05-12,20.0,1.19,5.76,-7.42,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,17.42
cluster_shrinking,2024-02-12/2024-02-18,20.0,1.02,7.31,-7.39,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,17.39
cluster_growing,2024-09-30/2024-10-06,22.0,10.75,5.36,7.34,high,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,17.34
