type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
correlated_spike,2024-02-12/2024-02-18,,,,,high,,,,,,,,,,,9.0,"['CAPITAL ONE FINANCIAL CORPORATION', 'CL Holdings LLC', 'CREDIT ACCEPTANCE CORPORATION', 'Diversified Adjustment Service, Inc.', 'Eastern Account Systems of Connecticut, Inc.', 'NAVY FEDERAL CREDIT UNION', 'National Credit Systems,Inc.', 'The CMI Group, Inc.', 'Velocity Portfolio Group']",2.6,"{'Attempts to collect debt not owed': 80, 'Written notification about debt': 35, 'False statements or representation': 15}",10.0
correlated_spike,2025-01-13/2025-01-19,,,,,high,,,,,,,,,,,13.0,"['Aldous & Associates, PLLC', 'Bridgecrest Acceptance Corporation', 'CAINE & WEINER COMPANY, INC.', 'First Credit Services Inc.', 'Harris & Harris, Ltd.', 'January Technologies, Inc', 'Kikoff Inc.', 'NCB Management Services Inc.', 'OneMain Finance Corporation', 'RentDebt Automated Collections, LLC']",2.35,"{'Attempts to collect debt not owed': 66, 'False statements or representation': 35, 'Written notification about debt': 18}",10.0
correlated_spike,2025-01-20/2025-01-26,,,,,high,,,,,,,,,,,11.0,"['Ability Recovery Services, LLC', 'Amsher Collection Services, Inc.', 'Bridgecrest Acceptance Corporation', 'Debt Recovery Solutions, LLC', 'Exeter Finance, LLC.', 'JPMORGAN CHASE & CO.', 'MRS BPO, LLC', 'Medical Data Systems, Inc.', 'The CBE Group, Inc.', 'United Collection Bureau, Inc.']",2.62,"{'Attempts to collect debt not owed': 47, 'Written notification about debt': 17, 'False statements or representation': 16}",10.0
correlated_spike,2024-11-18/2024-11-24,,,,,high,,,,,,,,,,,5.0,"['Absolute Resolutions Corp.', 'Affirm Holdings, Inc', 'Halsted Financial Services, LLC.', 'Harris & Harris, Ltd.', 'LJ Ross Associates']",2.51,"{'Attempts to collect debt not owed': 16, 'False statements or representation': 9, 'Written notification about debt': 5}",10.0
correlated_spike,2025-01-06/2025-01-12,,,,,high,,,,,,,,,,,8.0,"['Absolute Resolutions Corp.', 'CREDIT ACCEPTANCE CORPORATION', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'Lockhart, Morris & Montgomery Inc.', 'MRS BPO, LLC', 'NRA Group, LLC', 'Penn Credit Corporation', 'ProCollect, Inc.']",2.39,"{'Attempts to collect debt not owed': 34, 'Written notification about debt': 9, 'Took or threatened to take negative or legal action': 9}",10.0
correlated_spike,2024-09-23/2024-09-29,,,,,high,,,,,,,,,,,9.0,"['AMERICAN EXPRESS COMPANY', 'Ability Recovery Services, LLC', 'Collection Management Holdings, LLC', 'Debt Recovery Solutions, LLC', 'JPMORGAN CHASE & CO.', 'Kriya Capital, LLC', 'NAVY FEDERAL CREDIT UNION', 'V and H Portfolio', 'WELLS FARGO & COMPANY']",2.8,"{'Attempts to collect debt not owed': 34, 'Written notification about debt': 20, 'False statements or representation': 18}",10.0
correlated_spike,2024-07-15/2024-07-21,,,,,high,,,,,,,,,,,6.0,"['CAVALRY INVESTMENTS, LLC', 'JPMORGAN CHASE & CO.', 'NAVY FEDERAL CREDIT UNION', 'Penn Credit Corporation', 'RentDebt Automated Collections, LLC', 'WELLS FARGO & COMPANY']",2.38,"{'Attempts to collect debt not owed': 21, 'Written notification about debt': 8, 'False statements or representation': 7}",10.0
correlated_spike,2024-03-04/2024-03-10,,,,,high,,,,,,,,,,,7.0,"['Amsher Collection Services, Inc.', 'CAVALRY INVESTMENTS, LLC', 'CCF Intermediate Holdings LLC', 'EQUIFAX, INC.', 'Experian Information Solutions Inc.', 'Spring Oaks Capital, LLC', 'TRANSUNION INTERMEDIATE HOLDINGS, INC.']",2.66,"{'Written notification about debt': 443, 'Attempts to collect debt not owed': 164, 'False statements or representation': 10}",10.0
correlated_spike,2024-08-12/2024-08-18,,,,,high,,,,,,,,,,,6.0,"['AMERICAN EXPRESS COMPANY', 'Eastern Account Systems of Connecticut, Inc.', 'HW Holding, Inc', 'I.C. System, Inc.', 'Rent Recovery Solutions', 'Velocity Portfolio Group']",2.88,"{'Attempts to collect debt not owed': 36, 'Written notification about debt': 15, 'False statements or representation': 12}",10.0
correlated_spike,2024-06-10/2024-06-16,,,,,high,,,,,,,,,,,7.0,"['Affirm Holdings, Inc', 'CREDIT ACCEPTANCE CORPORATION', 'Credit Corp Solutions Inc.', 'Diversified Adjustment Service, Inc.', 'Eastern Account Systems of Connecticut, Inc.', 'JPMORGAN CHASE & CO.', 'LJ Ross Associates']",2.41,"{'Attempts to collect debt not owed': 37, 'Written notification about debt': 10, 'Took or threatened to take negative or legal action': 6}",10.0
correlated_spike,2024-04-15/2024-04-21,,,,,high,,,,,,,,,,,5.0,"['Aargon Agency, Inc.', 'Affirm Holdings, Inc', 'CLGF Holdco 1, LLC', 'MRS BPO, LLC', 'Zions Debt Holdings']",2.75,"{'Attempts to collect debt not owed': 19, 'False statements or representation': 6, 'Written notification about debt': 6}",10.0
correlated_spike,2024-12-16/2024-12-22,,,,,high,,,,,,,,,,,6.0,"['Collection Management Holdings, LLC', 'Consumer Adjustment Company Incorporated', 'Credit Corp Solutions Inc.', 'Sequium Asset Solutions, LLC', 'Spring Oaks Capital, LLC', 'TrueAccord Corp.']",2.44,"{'Attempts to collect debt not owed': 32, 'False statements or representation': 9, 'Took or threatened to take negative or legal action': 6}",10.0
correlated_spike,2024-12-30/2025-01-05,,,,,high,,,,,,,,,,,6.0,"['Affirm Holdings, Inc', 'Aldous & Associates, PLLC', 'Halsted Financial Services, LLC.', 'Source Receivables Management LLC', 'Southwest Credit Systems, L.P.', 'V and H Portfolio']",2.77,"{'Attempts to collect debt not owed': 28, 'Written notification about debt': 12, 'False statements or representation': 5}",10.0
correlated_spike,2024-12-09/2024-12-15,,,,,high,,,,,,,,,,,5.0,"['Central Portfolio Control Inc.', 'Diversified Adjustment Service, Inc.', 'Eastern Account Systems of Connecticut, Inc.', 'Lockhart, Morris & Montgomery Inc.', 'ONLINE Information Services, Inc.']",2.49,"{'Attempts to collect debt not owed': 13, 'False statements or representation': 12, 'Written notification about debt': 5}",10.0
correlated_spike,2024-03-11/2024-03-17,,,,,high,,,,,,,,,,,7.0,"['CITIBANK, N.A.', 'EQUIFAX, INC.', 'Experian Information Solutions Inc.', 'Medical Data Systems, Inc.', 'NRA Group, LLC', 'ONLINE Information Services, Inc.', 'TRANSUNION INTERMEDIATE HOLDINGS, INC.']",2.74,"{'Written notification about debt': 517, 'Attempts to collect debt not owed': 461, 'Took or threatened to take negative or legal action': 9}",10.0
correlated_spike,2024-02-19/2024-02-25,,,,,high,,,,,,,,,,,8.0,"['AMERICAN EXPRESS COMPANY', 'Aargon Agency, Inc.', 'CL Holdings LLC', 'Central Portfolio Control Inc.', 'Credit Control, LLC', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'Lockhart, Morris & Montgomery Inc.', 'W&A Intermediate Co., LLC']",2.74,"{'Attempts to collect debt not owed': 106, 'Written notification about debt': 54, 'Took or threatened to take negative or legal action': 19}",10.0
correlated_spike,2024-01-22/2024-01-28,,,,,high,,,,,,,,,,,6.0,"['CCS Financial Services, Inc.', 'EQUIFAX, INC.', 'Experian Information Solutions Inc.', 'JPMORGAN CHASE & CO.', 'TRANSUNION INTERMEDIATE HOLDINGS, INC.', 'TRANSWORLD SYSTEMS INC']",2.14,"{'Attempts to collect debt not owed': 225, 'Written notification about debt': 207, 'Took or threatened to take negative or legal action': 20}",10.0
volume_spike,2024-09-30/2024-10-06,,,,,medium,,AMERICAN EXPRESS COMPANY,13.0,5.2,2.48,0.003041,,,,,,,,,9.996983565574563
cluster_shrinking,2024-03-25/2024-03-31,8.0,7.31,11.75,-4.98,medium,"xxxx, xxxx xxxx, xx, debt, account",,,,,,,,,,,,,,9.98
volume_spike,2024-10-28/2024-11-03,,,,,medium,,TrueAccord Corp.,9.0,3.2,2.77,0.006291,,,,,,,,,9.971280307911568
volume_spike,2024-08-12/2024-08-18,,,,,medium,,Velocity Portfolio Group,9.0,3.2,2.77,0.006291,,,,,,,,,9.971280307911568
volume_spike,2024-09-23/2024-09-29,,,,,medium,,NAVY FEDERAL CREDIT UNION,10.0,3.8,2.67,0.005307,,,,,,,,,9.945150904187187
volume_spike,2024-01-08/2024-01-14,,,,,medium,,"W&A Intermediate Co., LLC",11.0,4.2,2.59,0.004434,,,,,,,,,9.943204301426888
volume_spike,2025-01-13/2025-01-19,,,,,medium,,"CAINE & WEINER COMPANY, INC.",21.0,10.0,2.1,0.001588,,,,,,,,,9.899149474560405
cluster_growing,2024-09-16/2024-09-22,19.0,5.97,3.14,4.87,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,9.870000000000001
cluster_growing,2024-09-16/2024-09-22,3.0,2.91,1.11,4.85,medium,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,9.85
cluster_shrinking,2024-05-13/2024-05-19,21.0,1.68,4.5,-4.82,medium,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,9.82
cluster_shrinking,2024-04-29/2024-05-05,25.0,1.56,4.07,-4.79,medium,"usc, 15 usc, 15, evidence, usc 1681i",,,,,,,,,,,,,,9.79
volume_spike,2023-12-18/2023-12-24,,,,,medium,,SYNCHRONY FINANCIAL,14.0,6.0,2.33,0.003628,,,,,,,,,9.770332709641313
volume_spike,2024-02-12/2024-02-18,,,,,medium,,CAPITAL ONE FINANCIAL CORPORATION,17.0,7.8,2.19,0.002722,,,,,,,,,9.755111863177707
cluster_shrinking,2024-05-27/2024-06-02,3.0,3.29,6.62,-4.75,medium,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,9.75
cluster_shrinking,2024-03-18/2024-03-24,6.0,10.41,15.02,-4.73,medium,"xxxx, xxxx xxxx, debt, account, credit",,,,,,,,,,,,,,9.73
cluster_growing,2024-07-15/2024-07-21,19.0,7.58,4.45,4.69,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,9.690000000000001
cluster_shrinking,2024-04-01/2024-04-07,11.0,3.02,5.98,-4.68,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,9.68
cluster_shrinking,2024-11-04/2024-11-10,20.0,3.81,7.17,-4.68,medium,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,9.68
cluster_growing,2024-07-01/2024-07-07,5.0,4.49,2.02,4.67,medium,"debt, xxxx, collection, validation, request",,,,,,,,,,,,,,9.67
volume_spike,2024-12-30/2025-01-05,,,,,medium,,"Southwest Credit Systems, L.P.",12.0,5.0,2.4,0.005453,,,,,,,,,9.663364494348857
volume_spike,2025-01-13/2025-01-19,,,,,medium,,NCB Management Services Inc.,12.0,5.0,2.4,0.005453,,,,,,,,,9.663364494348857
cluster_shrinking,2024-07-08/2024-07-14,12.0,0.64,2.92,-4.66,medium,"code 1692e, 1692e, 15 code, code, nature legal",,,,,,,,,,,,,,9.66
cluster_growing,2024-05-20/2024-05-26,26.0,4.31,2.17,4.66,medium,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,9.66
cluster_shrinking,2024-07-08/2024-07-14,21.0,0.56,2.78,-4.65,medium,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,9.65
volume_spike,2024-01-01/2024-01-07,,,,,medium,,"I.C. System, Inc.",18.0,8.5,2.12,0.003002,,,,,,,,,9.64258929762591
cluster_growing,2023-11-27/2023-12-03,22.0,10.09,5.42,4.63,medium,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,9.629999999999999
cluster_growing,2024-04-29/2024-05-05,10.0,2.92,1.3,4.59,medium,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,9.59
volume_spike,2025-01-06/2025-01-12,,,,,medium,,"FAIR COLLECTIONS & OUTSOURCING, INC.",10.0,4.0,2.5,0.008132,,,,,,,,,9.589802624693437
volume_spike,2024-09-23/2024-09-29,,,,,medium,,AMERICAN EXPRESS COMPANY,10.0,4.0,2.5,0.008132,,,,,,,,,9.589802624693437
volume_spike,2024-04-08/2024-04-14,,,,,medium,,NCB Management Services Inc.,10.0,4.0,2.5,0.008132,,,,,,,,,9.589802624693437
volume_spike,2024-04-15/2024-04-21,,,,,medium,,"Affirm Holdings, Inc",10.0,4.0,2.5,0.008132,,,,,,,,,9.589802624693437
volume_spike,2024-09-23/2024-09-29,,,,,medium,,JPMORGAN CHASE & CO.,10.0,4.0,2.5,0.008132,,,,,,,,,9.589802624693437
volume_spike,2024-03-18/2024-03-24,,,,,medium,,Velocity Portfolio Group,9.0,3.5,2.57,0.009874,,,,,,,,,9.575506872718124
volume_spike,2024-12-16/2024-12-22,,,,,medium,,"Collection Management Holdings, LLC",9.0,3.5,2.57,0.009874,,,,,,,,,9.575506872718124
volume_spike,2025-01-06/2025-01-12,,,,,medium,,Absolute Resolutions Corp.,9.0,3.5,2.57,0.009874,,,,,,,,,9.575506872718124
volume_spike,2024-02-05/2024-02-11,,,,,medium,,TrueAccord Corp.,9.0,3.5,2.57,0.009874,,,,,,,,,9.575506872718124
volume_spike,2024-02-19/2024-02-25,,,,,medium,,"FAIR COLLECTIONS & OUTSOURCING, INC.",9.0,3.5,2.57,0.009874,,,,,,,,,9.575506872718124
cluster_growing,2024-04-08/2024-04-14,28.0,13.05,9.34,4.57,medium,"need reporting, reporting correction, correction company, accounts need, identified inaccurate",,,,,,,,,,,,,,9.57
cluster_growing,2024-04-22/2024-04-28,28.0,15.58,11.58,4.57,medium,"need reporting, reporting correction, correction company, accounts need, identified inaccurate",,,,,,,,,,,,,,9.57
cluster_shrinking,2024-07-22/2024-07-28,16.0,5.83,10.13,-4.57,medium,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,9.57
cluster_shrinking,2024-03-04/2024-03-10,8.0,12.35,17.43,-4.55,medium,"xxxx, xxxx xxxx, xx, debt, account",,,,,,,,,,,,,,9.55
cluster_shrinking,2024-11-25/2024-12-01,13.0,0.89,3.44,-4.54,medium,"creditor, debt, original creditor, original, dispute",,,,,,,,,,,,,,9.54
cluster_growing,2024-05-06/2024-05-12,15.0,7.95,5.02,4.51,medium,"blocked, transactions, want, transactions blocked, removed important",,,,,,,,,,,,,,9.51
cluster_shrinking,2024-06-24/2024-06-30,3.0,1.03,3.3,-4.51,medium,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,9.51
volume_spike,2025-01-13/2025-01-19,,,,,medium,,"Aldous & Associates, PLLC",13.0,5.8,2.26,0.006344,,,,,,,,,9.457636818844701
cluster_shrinking,2024-06-10/2024-06-16,19.0,2.55,5.54,-4.4,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,9.4
volume_spike,2025-01-13/2025-01-19,,,,,medium,,"Harris & Harris, Ltd.",17.0,8.2,2.06,0.004996,,,,,,,,,9.361377561605059
cluster_shrinking,2024-04-22/2024-04-28,2.0,0.28,1.58,-4.35,medium,"inaccurate accounts, identified inaccurate, report identified, inaccurate, reviewing credit",,,,,,,,,,,,,,9.35
cluster_shrinking,2024-12-16/2024-12-22,16.0,1.66,4.02,-4.33,medium,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,9.33
cluster_growing,2024-05-20/2024-05-26,21.0,6.5,3.92,4.33,medium,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,9.33
cluster_growing,2024-11-04/2024-11-10,11.0,7.14,4.4,4.32,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,9.32
volume_spike,2025-01-20/2025-01-26,,,,,medium,,"Debt Recovery Solutions, LLC",12.0,5.3,2.25,0.008802,,,,,,,,,9.30541863083903
cluster_shrinking,2024-12-30/2025-01-05,20.0,2.18,4.78,-4.27,medium,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,9.27
cluster_growing,2024-04-08/2024-04-14,21.0,12.18,8.81,4.27,medium,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,9.27
cluster_growing,2024-06-24/2024-06-30,10.0,12.77,8.95,4.26,medium,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,9.26
cluster_growing,2024-08-19/2024-08-25,5.0,6.02,3.47,4.26,medium,"debt, xxxx, collection, validation, request",,,,,,,,,,,,,,9.26
cluster_shrinking,2024-04-01/2024-04-07,24.0,0.32,1.73,-4.23,medium,"proper notification, notification, proper, debt did, unaware debt",,,,,,,,,,,,,,9.23
volume_spike,2024-02-26/2024-03-03,,,,,medium,,"CAINE & WEINER COMPANY, INC.",13.0,6.0,2.17,0.008827,,,,,,,,,9.224186868492593
cluster_growing,2024-12-09/2024-12-15,7.0,2.8,1.26,4.22,medium,"remove misleading, inclusion crucial, crucial promptly, authorized inclusion, request elimination",,,,,,,,,,,,,,9.219999999999999
cluster_shrinking,2024-05-13/2024-05-19,20.0,1.98,4.44,-4.22,medium,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,9.219999999999999
cluster_growing,2024-07-22/2024-07-28,10.0,12.0,8.15,4.19,medium,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,9.190000000000001
volume_spike,2025-01-06/2025-01-12,,,,,medium,,"ProCollect, Inc.",15.0,7.2,2.07,0.007726,,,,,,,,,9.182045290569992
cluster_shrinking,2024-04-01/2024-04-07,8.0,6.36,9.73,-4.18,medium,"xxxx, xxxx xxxx, xx, debt, account",,,,,,,,,,,,,,9.18
cluster_shrinking,2025-01-20/2025-01-26,20.0,1.06,2.5,-4.15,medium,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,9.15
cluster_growing,2024-04-29/2024-05-05,15.0,5.97,3.66,4.15,medium,"blocked, transactions, want, transactions blocked, removed important",,,,,,,,,,,,,,9.15
cluster_shrinking,2024-03-18/2024-03-24,8.0,9.55,13.4,-4.14,medium,"xxxx, xxxx xxxx, xx, debt, account",,,,,,,,,,,,,,9.14
volume_spike,2024-02-19/2024-02-25,,,,,medium,,"W&A Intermediate Co., LLC",14.0,6.8,2.07,0.009627,,,,,,,,,9.08650902367362
volume_spike,2024-03-25/2024-03-31,,,,,medium,,T.S. Holdings,14.0,6.8,2.07,0.009627,,,,,,,,,9.08650902367362
cluster_shrinking,2024-10-07/2024-10-13,22.0,3.99,6.75,-4.08,medium,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,9.08
cluster_shrinking,2024-08-26/2024-09-01,19.0,2.72,5.3,-4.08,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,9.08
cluster_shrinking,2024-05-06/2024-05-12,2.0,0.53,2.06,-4.08,medium,"inaccurate accounts, identified inaccurate, report identified, inaccurate, reviewing credit",,,,,,,,,,,,,,9.08
cluster_shrinking,2024-07-22/2024-07-28,19.0,2.37,5.12,-4.07,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,9.07
cluster_shrinking,2024-09-23/2024-09-29,19.0,1.6,3.72,-4.07,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,9.07
cluster_shrinking,2024-05-20/2024-05-26,2.0,0.27,1.62,-4.0,medium,"inaccurate accounts, identified inaccurate, report identified, inaccurate, reviewing credit",,,,,,,,,,,,,,9.0
cluster_shrinking,2024-03-18/2024-03-24,29.0,1.84,3.88,-4.0,medium,"1006, cfr 1006, 34, 12 cfr, cfr",,,,,,,,,,,,,,9.0
cluster_shrinking,2024-05-27/2024-06-02,11.0,2.73,5.21,-3.95,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,8.95
cluster_shrinking,2024-05-06/2024-05-12,25.0,1.72,3.74,-3.93,medium,"usc, 15 usc, 15, evidence, usc 1681i",,,,,,,,,,,,,,8.93
cluster_shrinking,2024-01-29/2024-02-04,11.0,7.11,11.74,-3.92,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,8.92
cluster_shrinking,2024-02-19/2024-02-25,18.0,17.36,22.59,-3.91,medium,"debt, company, xxxx, credit, account",,,,,,,,,,,,,,8.91
cluster_shrinking,2024-03-25/2024-03-31,18.0,12.24,16.31,-3.91,medium,"debt, company, xxxx, credit, account",,,,,,,,,,,,,,8.91
cluster_growing,2024-04-29/2024-05-05,11.0,6.42,4.13,3.9,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,8.9
cluster_shrinking,2024-05-27/2024-06-02,25.0,0.42,1.84,-3.87,medium,"usc, 15 usc, 15, evidence, usc 1681i",,,,,,,,,,,,,,8.870000000000001
cluster_shrinking,2024-05-27/2024-06-02,19.0,0.98,2.72,-3.87,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,8.870000000000001
cluster_shrinking,2024-08-12/2024-08-18,22.0,3.38,5.94,-3.86,medium,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,8.86
cluster_shrinking,2025-01-13/2025-01-19,20.0,1.6,3.26,-3.86,medium,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,8.86
cluster_growing,2024-09-30/2024-10-06,13.0,3.11,1.55,3.85,medium,"creditor, debt, original creditor, original, dispute",,,,,,,,,,,,,,8.85
cluster_growing,2024-07-29/2024-08-04,10.0,11.23,7.8,3.84,medium,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,8.84
cluster_shrinking,2024-11-25/2024-12-01,19.0,0.36,1.96,-3.8,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,8.8
cluster_shrinking,2024-02-19/2024-02-25,4.0,2.6,5.17,-3.78,medium,"identity, theft, identity theft, xxxx, account",,,,,,,,,,,,,,8.78
cluster_growing,2024-08-12/2024-08-18,5.0,4.78,2.81,3.77,medium,"debt, xxxx, collection, validation, request",,,,,,,,,,,,,,8.77
cluster_growing,2024-05-06/2024-05-12,4.0,2.98,1.56,3.76,medium,"identity, theft, identity theft, xxxx, account",,,,,,,,,,,,,,8.76
cluster_shrinking,2024-03-11/2024-03-17,14.0,4.58,7.03,-3.7,medium,"xxxx, xx, xx xxxx, xx xx, xxxx xxxx",,,,,,,,,,,,,,8.7
cluster_shrinking,2024-08-19/2024-08-25,16.0,4.76,7.65,-3.69,medium,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,8.69
cluster_shrinking,2024-07-29/2024-08-04,11.0,2.06,4.36,-3.69,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,8.69
cluster_shrinking,2024-09-09/2024-09-15,10.0,5.53,8.54,-3.68,medium,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,8.68
cluster_shrinking,2024-03-04/2024-03-10,29.0,2.66,4.92,-3.65,medium,"1006, cfr 1006, 34, 12 cfr, cfr",,,,,,,,,,,,,,8.65
cluster_shrinking,2024-04-08/2024-04-14,29.0,0.69,1.94,-3.62,medium,"1006, cfr 1006, 34, 12 cfr, cfr",,,,,,,,,,,,,,8.620000000000001
cluster_shrinking,2024-03-04/2024-03-10,4.0,1.71,3.62,-3.62,medium,"identity, theft, identity theft, xxxx, account",,,,,,,,,,,,,,8.620000000000001
cluster_shrinking,2024-03-11/2024-03-17,22.0,3.0,5.02,-3.61,medium,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,8.61
cluster_growing,2024-12-30/2025-01-05,4.0,4.51,2.66,3.6,medium,"identity, theft, identity theft, xxxx, account",,,,,,,,,,,,,,8.6
cluster_growing,2024-08-05/2024-08-11,9.0,4.04,2.24,3.6,medium,"invaluable ensuring, feedback insights, expertise invaluable, completeness feedback, review examine",,,,,,,,,,,,,,8.6
cluster_growing,2024-01-29/2024-02-04,18.0,25.76,20.21,3.57,medium,"debt, company, xxxx, credit, account",,,,,,,,,,,,,,8.57
cluster_growing,2024-04-15/2024-04-21,28.0,13.45,10.45,3.57,medium,"need reporting, reporting correction, correction company, accounts need, identified inaccurate",,,,,,,,,,,,,,8.57
cluster_shrinking,2024-03-11/2024-03-17,23.0,3.32,5.38,-3.55,medium,"xx, xx xx, xx year, year, xxxx",,,,,,,,,,,,,,8.55
cluster_shrinking,2024-11-18/2024-11-24,9.0,2.26,4.34,-3.51,medium,"invaluable ensuring, feedback insights, expertise invaluable, completeness feedback, review examine",,,,,,,,,,,,,,8.51
cluster_shrinking,2024-03-11/2024-03-17,4.0,1.42,2.9,-3.5,medium,"identity, theft, identity theft, xxxx, account",,,,,,,,,,,,,,8.5
cluster_shrinking,2024-12-02/2024-12-08,13.0,1.45,3.11,-3.5,medium,"creditor, debt, original creditor, original, dispute",,,,,,,,,,,,,,8.5
cluster_shrinking,2024-03-04/2024-03-10,22.0,3.28,5.59,-3.5,medium,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,8.5
cluster_growing,2024-06-24/2024-06-30,19.0,7.04,4.71,3.48,medium,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,8.48
cluster_shrinking,2024-09-30/2024-10-06,29.0,0.21,1.26,-3.45,medium,"1006, cfr 1006, 34, 12 cfr, cfr",,,,,,,,,,,,,,8.45
cluster_shrinking,2024-06-03/2024-06-09,26.0,2.52,4.53,-3.45,medium,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,8.45
cluster_shrinking,2024-03-04/2024-03-10,6.0,14.95,18.97,-3.45,medium,"xxxx, xxxx xxxx, debt, account, credit",,,,,,,,,,,,,,8.45
cluster_shrinking,2024-09-02/2024-09-08,16.0,4.87,7.64,-3.44,medium,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,8.44
cluster_growing,2024-05-20/2024-05-26,5.0,3.9,2.31,3.43,medium,"debt, xxxx, collection, validation, request",,,,,,,,,,,,,,8.43
cluster_growing,2024-02-05/2024-02-11,8.0,18.88,14.34,3.4,medium,"xxxx, xxxx xxxx, xx, debt, account",,,,,,,,,,,,,,8.4
cluster_growing,2024-09-23/2024-09-29,22.0,6.95,4.75,3.39,medium,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,8.39
cluster_shrinking,2025-01-20/2025-01-26,16.0,2.04,3.45,-3.39,medium,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,8.39
cluster_shrinking,2024-05-13/2024-05-19,2.0,0.51,1.75,-3.37,medium,"inaccurate accounts, identified inaccurate, report identified, inaccurate, reviewing credit",,,,,,,,,,,,,,8.370000000000001
cluster_shrinking,2024-03-18/2024-03-24,11.0,4.96,7.34,-3.36,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,8.36
cluster_shrinking,2024-12-09/2024-12-15,9.0,1.34,2.87,-3.34,medium,"invaluable ensuring, feedback insights, expertise invaluable, completeness feedback, review examine",,,,,,,,,,,,,,8.34
cluster_growing,2024-08-12/2024-08-18,12.0,3.12,1.74,3.31,medium,"code 1692e, 1692e, 15 code, code, nature legal",,,,,,,,,,,,,,8.31
cluster_shrinking,2025-01-13/2025-01-19,29.0,0.7,1.72,-3.28,medium,"1006, cfr 1006, 34, 12 cfr, cfr",,,,,,,,,,,,,,8.28
cluster_growing,2024-12-02/2024-12-08,11.0,8.21,5.89,3.26,medium,"xxxx, credit, account, reporting, information",,,,,,,,,,,,,,8.26
